wavelength	Species	transition	A_coeff	Eu(K)	comments	ref
1.1972320760	HeI	3Po-3D2-1	9.660E+04	279003.2	Blnd15	CLOUDY
1.1972334318	HeI	3Po-3D2-2	8.700E+05	279003.2	Blnd15	CLOUDY
1.1972335237	HeI	3Po-3D2-3	3.480E+06	279003.2	Blnd15	CLOUDY
1.1972352258	HeI	3Po-3D1-1	1.450E+06	279003.2	Blnd15	CLOUDY
1.1972365816	HeI	3Po-3D1-2	2.610E+06	279003.2	Blnd15	CLOUDY
1.1972740206	HeI	3Po-3D0-1	1.930E+06	279003.2	Blnd15	CLOUDY
1.253074954	HeI	3S-3Po1-0	7.090E+05	275118.5	Blnd16	CLOUDY
1.253092277	HeI	3S-3Po1-1	7.090E+05	275118.3	Blnd16	CLOUDY
1.253093690	HeI	3S-3Po1-2	7.090E+05	275118.3	Blnd16	CLOUDY
1.25702068	[FeII]	a6D-a4D9/2-7/2	4.740E-03	11445.9		CLOUDY
1.27069100	[FeII]	a6D-a4D1/2-1/2	3.320E-03	12728.5		CLOUDY
1.2788411323	5HeI	3D-3Fo3-2	2.030E+04	279008.9	Blnd17	CLOUDY
1.2788415432	4HeI	3D-3Fo2-2	7.110E+05	279008.9	Blnd17	CLOUDY
1.2788418536	4HeI	3D-3Fo3-4	4.580E+06	279008.9	Blnd17	CLOUDY
1.2788423570	8HeI	3D-3Fo3-3	3.550E+05	279008.9	Blnd17	CLOUDY
1.2788427679	7HeI	3D-3Fo2-3	2.900E+06	279008.9	Blnd17	CLOUDY
1.2788487721	0HeI	3D-3Fo1-2	3.840E+06	279008.9	Blnd17	CLOUDY
1.27912262	[FeII]	a6D-a4D3/2-3/2	2.450E-03	12489.2		CLOUDY
1.2793999402	5HeI	1D-1Fo2-3	3.250E+06	279008.9	Blnd18	CLOUDY
1.282159	HI	3-5	2.201E+06	151491.0		CLOUDY
1.29462030	[FeII]	a6D-a4D5/2-5/2	1.980E-03	12074.1		CLOUDY
1.29812459	[FeII]	a6D-a4D1/2-3/2	1.080E-03	12489.2		CLOUDY
1.2988405154	HeI	3D-3Po1-0	2.730E+05	278835.7	Blnd19	CLOUDY
1.2988424122	HeI	3D-3Po2-1	2.050E+05	278835.7	Blnd19	CLOUDY
1.2988427514	HeI	3D-3Po3-2	2.290E+05	278835.7	Blnd19	CLOUDY
1.2988431752	HeI	3D-3Po2-2	4.090E+04	278835.7	Blnd19	CLOUDY
1.2988498690	HeI	3D-3Po1-1	6.820E+04	278835.7	Blnd19	CLOUDY
1.2988506320	HeI	3D-3Po1-2	2.730E+03	278835.7	Blnd19	CLOUDY
1.3167490	OI	3P-3So1-1	6.447E+06	138446.4		OBSERV
1.3168459	OI	3P-3So2-1	1.074E+07	138446.4		OBSERV
1.3168731	OI	3P-3So0-1	2.148E+06	138446.4		OBSERV
1.32091124	[FeII]	a6D-a4D7/2-7/2	1.310E-03	11445.9		CLOUDY
1.32813702	[FeII]	a6D-a4D3/2-5/2	1.170E-03	12074.1		CLOUDY
1.37218714	[FeII]	a6D-a4D5/2-7/2	0.000E+00	11445.9		CLOUDY
1.4971425	HI	4-25	3.811E+02	157550.6		CLOUDY
1.5004961	HI	4-24	4.684E+02	157529.1		CLOUDY
1.5043147	HI	4-23	5.807E+02	157504.8		CLOUDY
1.5086896	HI	4-22	7.271E+02	157477.1		CLOUDY
1.5137357	HI	4-21	9.202E+02	157445.3		CLOUDY
1.5195996	HI	4-20	1.178E+03	157408.6		CLOUDY
1.5264708	HI	4-19	1.529E+03	157366.0		CLOUDY
1.53389393	[FeII]	a4F-a4D9/2-5/2	3.120E-03	12074.1		CLOUDY
1.5345982	HI	4-18	2.013E+03	157316.1		CLOUDY
1.5443139	HI	4-17	2.694E+03	157257.1		CLOUDY
1.5560699	HI	4-16	3.671E+03	157186.7		CLOUDY
1.5704952	HI	4-15	5.111E+03	157101.8		CLOUDY
1.5884880	HI	4-14	7.288E+03	156998.0		CLOUDY
1.59991458	[FeII]	a4F-a4D7/2-3/2	4.200E-03	12489.2		CLOUDY
1.6113714	HI	4-13	1.069E+04	156869.4		CLOUDY
1.6411674	HI	4-12	1.621E+04	156707.3		CLOUDY
1.64400169	[FeII]	a4F-a4D9/2-7/2	6.000E-03	11445.9		CLOUDY
1.66422497	[FeII]	a4F-a4D5/2-1/2	4.700E-03	12728.5		CLOUDY
1.67734056	[FeII]	a4F-a4D7/2-5/2	2.490E-03	12074.1		CLOUDY
1.6811111	HI	4-11	2.557E+04	156498.9		CLOUDY
1.687760831	H2	v=1,J=11->v=0,J=9	1.678E-07	15721.5		MEUDON
